Cases 0-19y,Cases 20-59y,Cases 60-79y,Cases 80+y,Total Cases,Incidence 0-19y,Incidence 20-59y,Incidence 60-79y,Incidence 80+y,Total Incidence,Meldedatum
0,2,2,0,3,0.0,0.004573447787827878,0.011017256935487186,0.0,0.003607719176967176,2020-03-02
0,0,8,11,19,0.0,0.0,0.04406902774194874,0.1852964254298119,0.022848888120792114,2020-03-09
0,10,43,110,162,0.0,0.022867238939139393,0.23687102411297448,1.8529642542981193,0.19481683555622753,2020-03-16
0,30,203,369,601,0.0,0.06860171681741817,1.1182515789519492,6.215852816690964,0.7227464084524242,2020-03-23
0,71,447,852,1370,0.0,0.1623573964678897,2.462356925081386,14.35205040601816,1.6475250908150103,2020-03-30
2,69,534,1141,1743,0.013042422958733644,0.15778394868006182,2.9416076017750785,19.22029285594685,2.096084841817929,2020-04-06
0,53,508,1034,1596,0.0,0.12119636637743877,2.798383261613745,17.41786399040232,1.9193066021465375,2020-04-13
2,48,351,777,1176,0.013042422958733644,0.10976274690786908,1.933528592178001,13.088665687178532,1.414225917371133,2020-04-20
0,47,266,486,797,0.0,0.10747602301395515,1.4652951724197956,8.18673297808078,0.9584507280142797,2020-04-27
0,22,168,326,516,0.0,0.050307925666106666,0.9254495825809235,5.491512244556244,0.6205276984383542,2020-05-04
0,28,133,193,353,0.0,0.0640282690295903,0.7326475862098978,3.2511100098139725,0.4245082898231377,2020-05-11
0,16,86,173,274,0.0,0.036587582302623024,0.47374204822594895,2.9142074181234054,0.32950501816300204,2020-05-18
0,12,58,82,151,0.0,0.02744068672696727,0.31950045112912834,1.3813006259313252,0.18158853190734783,2020-05-25
0,11,30,76,115,0.0,0.025153962833053333,0.16525885403230778,1.280229848424155,0.13829590178374174,2020-06-01
0,6,33,36,74,0.0,0.013720343363483635,0.18178473943553855,0.6064246650430208,0.08899040636519034,2020-06-08
0,6,20,27,52,0.0,0.013720343363483635,0.11017256935487184,0.4548184987822656,0.06253379906743105,2020-06-15
0,9,21,26,56,0.0,0.020580515045225452,0.11568119782261543,0.4379733691977372,0.06734409130338728,2020-06-22
0,4,22,19,45,0.0,0.009146895575655756,0.12118982629035904,0.32005746210603875,0.05411578765450764,2020-06-29
0,7,13,10,29,0.0,0.016007067257397575,0.0716121700806667,0.16845129584528357,0.034874618710682696,2020-07-06
0,2,10,13,25,0.0,0.004573447787827878,0.05508628467743592,0.2189866845988686,0.030064326474726465,2020-07-13
0,4,10,16,32,0.0,0.009146895575655756,0.05508628467743592,0.26952207335245365,0.038482337887649876,2020-07-20
0,2,14,15,30,0.0,0.004573447787827878,0.0771207985484103,0.2526769437679253,0.03607719176967176,2020-07-27
0,4,10,16,30,0.0,0.009146895575655756,0.05508628467743592,0.26952207335245365,0.03607719176967176,2020-08-03
0,2,10,20,31,0.0,0.004573447787827878,0.05508628467743592,0.33690259169056713,0.03727976482866082,2020-08-10
0,4,14,24,41,0.0,0.009146895575655756,0.0771207985484103,0.40428311002868056,0.04930549541855141,2020-08-17
0,10,18,12,39,0.0,0.022867238939139393,0.09915531241938466,0.20214155501434028,0.04690034930057329,2020-08-24
0,4,10,4,19,0.0,0.009146895575655756,0.05508628467743592,0.06738051833811341,0.022848888120792114,2020-08-31
0,2,11,17,33,0.0,0.004573447787827878,0.06059491314517952,0.28636720293698203,0.03968491094663894,2020-09-07
0,7,15,33,54,0.0,0.016007067257397575,0.08262942701615389,0.5558892762894356,0.06493894518540916,2020-09-14
0,6,20,41,67,0.0,0.013720343363483635,0.11017256935487184,0.6906503129656626,0.08057239495226694,2020-09-21
0,6,19,56,82,0.0,0.013720343363483635,0.10466394088712826,0.9433272567335879,0.09861099083710281,2020-09-28
0,8,49,68,123,0.0,0.018293791151311512,0.269922794919436,1.1454688117479281,0.1479164862556542,2020-10-05
0,13,59,171,241,0.0,0.029727410620881207,0.325009079596872,2.8805171589543486,0.28982010721636314,2020-10-12
0,16,114,285,414,0.0,0.036587582302623024,0.6279836453227695,4.800861931590581,0.49786524642147034,2020-10-19
2,34,206,556,798,0.013042422958733644,0.07774861239307393,1.13477746435518,9.365892048997765,0.9596533010732687,2020-10-26
0,38,316,912,1265,0.0,0.08689550796872969,1.7407265958069753,15.362758181089859,1.521254919621159,2020-11-02
0,68,422,1176,1666,0.0,0.15549722478614786,2.324641213387796,19.809872391405346,2.0034867162757717,2020-11-09
0,72,572,1498,2142,0.0,0.16464412036180362,3.1509354835493353,25.234004117623478,2.575911492354564,2020-11-16
0,92,772,2063,2927,0.0,0.21037859824008243,4.252661177098053,34.751502332882,3.519931343660975,2020-11-23
2,90,891,2466,3450,0.013042422958733644,0.20580515045225453,4.908187964759541,41.540089555446926,4.148877053512252,2020-11-30
2,114,1076,3162,4354,0.013042422958733644,0.26068652390618907,5.927284231292106,53.26429974627866,5.236003098838361,2020-12-07
0,152,1261,3869,5282,0.0,0.34758203187491876,6.946380497824671,65.1738063625402,6.351990897580208,2020-12-14
0,152,1470,4267,5890,0.0,0.34758203187491876,8.097683847583081,71.8781679371825,7.083155317445556,2020-12-21
2,175,1470,4213,5859,0.013042422958733644,0.4001766814349394,8.097683847583081,70.96853093961796,7.045875552616894,2020-12-28
2,153,1407,3993,5553,0.013042422958733644,0.3498687557688327,7.750640254115234,67.26260243102172,6.677888196566243,2021-01-04
0,138,1327,3580,5045,0.0,0.31556789736012364,7.309949976695747,60.30556391261151,6.066981082599801,2021-01-11
0,146,1236,3404,4785,0.0,0.33386168851143516,6.8086647861310805,57.34082110573452,5.754312087262646,2021-01-18
0,111,1072,2909,4094,0.0,0.25382635222444727,5.905249717421131,49.00248196139298,4.923334103501206,2021-01-25
0,116,934,2283,3333,0.0,0.26525997169401694,5.145058988872516,38.457430841478235,4.008176005610532,2021-02-01
0,94,770,1816,2680,0.0,0.2149520460279103,4.241643920162566,30.590755325503494,3.222895798090677,2021-02-08
2,84,626,1316,2028,0.013042422958733644,0.1920848070887709,3.4484014208074893,22.168190533239315,2.438818163629811,2021-02-15
0,84,529,1095,1708,0.0,0.1920848070887709,2.9140644594363607,18.445416895058546,2.053994784753312,2021-02-22
2,63,467,826,1357,0.013042422958733644,0.14406360531657816,2.572529494436258,13.914077036820421,1.6318916410481525,2021-03-01
4,68,429,730,1229,0.02608484591746729,0.15549722478614786,2.3632016126620012,12.2969445967057,1.477962289497553,2021-03-08
0,80,393,636,1108,0.0,0.18293791151311514,2.164890987823232,10.713502415760034,1.3324509493598768,2021-03-15
2,87,436,663,1187,0.013042422958733644,0.19894497877051273,2.4017620119362064,11.1683209145423,1.4274542210200127,2021-03-22
2,136,518,718,1374,0.013042422958733644,0.3109944495722957,2.8534695462911808,12.094803041691359,1.6523353830509666,2021-03-29
0,119,601,786,1506,0.0,0.2721201433757588,3.310685709113899,13.240271853439287,1.8110750268375222,2021-04-05
0,124,690,693,1508,0.0,0.28355376284532846,3.800953642743079,11.67367480207815,1.8134801729555003,2021-04-12
2,154,735,697,1587,0.013042422958733644,0.35215547966274663,4.0488419237915405,11.741055320416264,1.908483444615636,2021-04-19
4,147,744,681,1574,0.02608484591746729,0.33614841240534904,4.0984195800012335,11.47153324706381,1.8928499948487783,2021-04-26
0,175,660,581,1417,0.0,0.4001766814349394,3.635694788710771,9.787020288610973,1.704046024587496,2021-05-03
2,135,552,454,1143,0.013042422958733644,0.30870772567838184,3.040762914194463,7.6476888313758735,1.374541006424494,2021-05-10
2,126,459,332,920,0.013042422958733644,0.2881272106331563,2.528460466694309,5.592583022063414,1.106367214269934,2021-05-17
0,91,327,271,689,0.0,0.2080918743461685,1.8013215089521546,4.565030117407184,0.8285728376434615,2021-05-24
0,69,214,186,469,0.0,0.15778394868006182,1.1788464920971287,3.133194102722274,0.5640067646658685,2021-05-31
0,62,127,98,287,0.0,0.14177688142266423,0.6995958154034363,1.6508226992837787,0.3451384679298598,2021-06-07
2,34,128,69,232,0.013042422958733644,0.07774861239307393,0.7051044438711799,1.1623139413324566,0.27899694968546157,2021-06-14
2,18,68,46,134,0.013042422958733644,0.041161030090450905,0.37458673580656426,0.7748759608883043,0.16114478990453387,2021-06-21
0,25,46,23,94,0.0,0.05716809734784847,0.25339690951620525,0.3874379804441522,0.1130418675449715,2021-06-28
0,12,33,14,59,0.0,0.02744068672696727,0.18178473943553855,0.23583181418339697,0.07095181048035445,2021-07-05
2,9,22,25,58,0.013042422958733644,0.020580515045225452,0.12118982629035904,0.4211282396132089,0.06974923742136539,2021-07-12
0,20,23,16,61,0.0,0.045734477878278786,0.12669845475810262,0.26952207335245365,0.07335695659833258,2021-07-19
0,12,15,14,39,0.0,0.02744068672696727,0.08262942701615389,0.23583181418339697,0.04690034930057329,2021-07-26
0,5,25,28,58,0.0,0.011433619469569696,0.13771571169358982,0.47166362836679393,0.06974923742136539,2021-08-02
0,6,27,41,75,0.0,0.013720343363483635,0.148732968629077,0.6906503129656626,0.0901929794241794,2021-08-09
2,19,48,58,125,0.013042422958733644,0.043447753984364845,0.26441416645169247,0.9770175159026446,0.15032163237363233,2021-08-16
2,16,62,81,161,0.013042422958733644,0.036587582302623024,0.3415349650001028,1.3644554963467967,0.19361426249723845,2021-08-23
0,47,87,132,266,0.0,0.10747602301395515,0.4792506766936926,2.2235571051577425,0.3198844336910896,2021-08-30
2,48,112,167,328,0.013042422958733644,0.10976274690786908,0.6169663883872823,2.8131366406162353,0.39444396334841125,2021-09-06
0,62,127,234,423,0.0,0.14177688142266423,0.6995958154034363,3.9417603227796354,0.5086884039523718,2021-09-13
2,70,143,186,400,0.013042422958733644,0.16007067257397575,0.7877338708873338,3.133194102722274,0.48102922359562345,2021-09-20
0,51,119,209,378,0.0,0.11662291858961091,0.6555267876614875,3.520632083166426,0.45457261629786416,2021-09-27
2,38,140,215,394,0.013042422958733644,0.08689550796872969,0.7712079854841031,3.621702860673596,0.4738137852416891,2021-10-04
0,43,142,266,451,0.0,0.09832912743829939,0.7822252424195901,4.480804469484542,0.5423604496040655,2021-10-11
2,60,167,360,589,0.013042422958733644,0.13720343363483634,0.9199409541131799,6.064246650430208,0.7083155317445555,2021-10-18
4,69,225,540,838,0.02608484591746729,0.15778394868006182,1.2394414052423084,9.096369975645311,1.0077562234328312,2021-10-25
2,74,315,787,1179,0.013042422958733644,0.1692175681496315,1.7352179673392316,13.257116983023815,1.4178336365481001,2021-11-01
0,96,420,1028,1543,0.0,0.21952549381573816,2.313623956452309,17.31679321289515,1.8555702300201173,2021-11-08
4,112,614,1221,1948,0.02608484591746729,0.2561130761183612,3.3822978791945655,20.56790322270912,2.342612318910686,2021-11-15
2,154,757,1464,2376,0.013042422958733644,0.35215547966274663,4.1700317500818995,24.661269711749515,2.8573135881580036,2021-11-22
4,215,872,1585,2673,0.02608484591746729,0.49164563719149695,4.803524023872413,26.699530391477445,3.2144777866777536,2021-11-29
4,214,832,1443,2492,0.02608484591746729,0.489358913297583,4.583178885162669,24.307521990474417,2.996812063000734,2021-12-06
2,191,863,1258,2315,0.013042422958733644,0.43676426373756244,4.753946367662721,21.19117301733667,2.7839566315596707,2021-12-13
0,169,712,1024,1906,0.0,0.3864563380714557,3.9221434690334376,17.249412694557034,2.292104250433146,2021-12-20
2,122,529,751,1403,0.013042422958733644,0.2789803150575006,2.9140644594363607,12.650692317980793,1.6872100017616494,2021-12-27
4,125,391,556,1073,0.02608484591746729,0.2858404867392424,2.153873730887745,9.365892048997765,1.29036089229526,2022-01-03
