Cases 0-4y,Cases 5-14y,Cases 15-34y,Cases 35-59y,Cases 60-79y,Cases 80+y,Meldedatum,Total Cases,Incidence 0-4y,Incidence 5-14y,Incidence 15-34y,Incidence 35-59y,Incidence 60-79y,Incidence 80+y,Total Incidence
2,3.0,23,84,37,11,2020-03-02,160,0.050388774590351855,0.039953855959956645,0.12155618125865825,0.29302837358857126,0.20381925330651293,0.1852964254298119,0.19241168943824938
2,2.0,54,238,152,77,2020-03-09,525,0.050388774590351855,0.02663590397330443,0.2853927733898932,0.8302470585009519,0.837311527097026,1.2970749780086832,0.6313508559692558
14,6.0,152,725,861,472,2020-03-16,2230,0.352721422132463,0.07990771191991329,0.8033278065789587,2.529113938710883,4.742929110727233,7.950901163897383,2.6817379215456008
33,16.0,259,1360,2218,1259,2020-03-23,5145,0.8314147807408058,0.21308723178643543,1.3688283019996732,4.744268905719726,12.218137941455288,21.208018146921198,6.187238388498707
27,17.0,305,1348,2484,1920,2020-03-30,6101,0.6802484569697501,0.22640518377308766,1.6119406645169896,4.702407709492787,13.683433113875084,32.34264880229444,7.3368982328922465
22,8.0,226,983,1762,1733,2020-04-06,4735,0.5542765204938704,0.10654361589321772,1.1944216071502938,3.4291296575900665,9.70620336016421,29.19260956998764,5.694183434313192
9,12.0,192,635,1281,1255,2020-04-13,3384,0.22674948565658334,0.15981542383982658,1.0147298609418427,2.2151549670088424,7.056553067179542,21.140637628583086,4.069507231618974
20,15.0,183,418,768,834,2020-04-20,2238,0.5038877459035186,0.19976927979978323,0.9671643987101938,1.4581650019050334,4.2306266632270795,14.048838073496647,2.6913585060175134
19,8.0,107,286,513,428,2020-04-27,1361,0.4786933586083426,0.10654361589321772,0.5655004954207143,0.9976918434087069,2.825926403952463,7.209715462178136,1.6367019332841088
10,7.0,91,239,383,350,2020-05-04,1080,0.2519438729517593,0.09322566390656552,0.48093967367556084,0.8337354915198635,2.109804703145796,5.895795354584924,1.2987789037081834
7,18.0,74,180,231,249,2020-05-11,759,0.1763607110662315,0.2397231357597399,0.39109380057133525,0.6279179434040814,1.2724931760487699,4.194437266547561,0.9127529517726956
4,2.0,51,120,170,166,2020-05-18,513,0.10077754918070371,0.02663590397330443,0.26953761931267695,0.41861196226938757,0.9364668395164106,2.796291511031707,0.6169199792613871
4,3.5,38,124,138,117,2020-05-25,421,0.10077754918070371,0.04661283195328276,0.2008319516447397,0.4325656943450338,0.7601907285486158,1.9708801613898177,0.5062832578343938
3,5.0,40,94,90,75,2020-06-01,307,0.07558316188552779,0.06658975993326108,0.2114020543628839,0.32791270377768694,0.49577656209692333,1.2633847188396266,0.369189929109641
11,5.0,48,83,70,73,2020-06-08,290,0.2771382602469352,0.06658975993326108,0.2536824652354607,0.2895399405696597,0.38560399274205154,1.22969445967057,0.348746187106827
5,3.0,52,121,81,62,2020-06-15,324,0.12597193647587965,0.039953855959956645,0.27482267067174904,0.4221003952882991,0.446198905887231,1.0443980342407582,0.38963367111245506
3,7.0,47,103,79,57,2020-06-22,297,0.07558316188552779,0.09322566390656552,0.24839741387638856,0.35930860094789097,0.4351816489517438,0.9601723863181162,0.35716419851975045
3,4.0,54,93,57,52,2020-06-29,263,0.07558316188552779,0.05327180794660886,0.2853927733898932,0.32442427075877533,0.31399182266138476,0.8759467383954744,0.3162767145141224
7,6.0,36,97,79,32,2020-07-06,257,0.1763607110662315,0.07990771191991329,0.1902618489265955,0.3383780028344216,0.4351816489517438,0.5390441467049073,0.3090612761601881
9,5.0,61,106,91,49,2020-07-13,321,0.22674948565658334,0.06658975993326108,0.3223881329033979,0.3697739000046257,0.5012851905646669,0.8254113496418893,0.38602595193548783
10,8.0,54,112,105,46,2020-07-20,335,0.2519438729517593,0.10654361589321772,0.2853927733898932,0.39070449811809504,0.5784059891130773,0.7748759608883043,0.4028619747613346
2,5.0,50,147,106,76,2020-07-27,386,0.050388774590351855,0.06658975993326108,0.26425256795360486,0.5127996537799997,0.5839146175808209,1.280229848424155,0.46419320076977666
4,3.0,70,147,114,66,2020-08-03,404,0.10077754918070371,0.039953855959956645,0.3699535951350468,0.5127996537799997,0.6279836453227695,1.1117785525788713,0.4858395158315797
11,13.0,75,151,115,78,2020-08-10,445,0.2771382602469352,0.1731333758264788,0.3963788519304073,0.526753385855646,0.6334922737905132,1.3139201075932117,0.5351450112501311
9,11.0,95,171,107,45,2020-08-17,438,0.22674948565658334,0.14649747185317438,0.5020798791118493,0.5965220462338773,0.5894232460485643,0.758030831303776,0.5267269998372077
6,8.0,67,151,101,40,2020-08-24,373,0.15116632377105557,0.10654361589321772,0.3540984410578305,0.526753385855646,0.5563714752421028,0.6738051833811343,0.4485597510029189
4,7.0,76,147,122,51,2020-08-31,407,0.10077754918070371,0.09322566390656552,0.4016639032894794,0.5127996537799997,0.6720526730647183,0.8591016088109461,0.4894472350085468
12,12.0,50,162,141,98,2020-09-07,476,0.30233264754211114,0.15981542383982658,0.26425256795360486,0.5651261490636732,0.7767166139518465,1.6508226992837787,0.5724247760787919
8,10.0,81,238,211,136,2020-09-14,685,0.20155509836140742,0.13317951986652216,0.4280891600848398,0.8302470585009519,1.162320606693898,2.2909376234958563,0.8237625454075052
9,7.0,111,242,258,154,2020-09-21,781,0.22674948565658334,0.09322566390656552,0.5866407008570028,0.8442007905765982,1.421226144677847,2.5941499560173664,0.9392095590704548
15,10.0,118,283,289,176,2020-09-28,891,0.3779158094276389,0.13317951986652216,0.6236360603705075,0.9872265443519722,1.5919936271778983,2.9647428068769903,1.0714925955592514
21,17.0,211,499,513,362,2020-10-05,1624,0.5290821331986946,0.22640518377308766,1.1151458367642124,1.7407280764368698,2.825926403952463,6.097936909599265,1.9529786477982314
24,26.0,276,683,789,561,2020-10-12,2362,0.6046652950842223,0.3462667516529576,1.458674175103899,2.3825997519165973,4.346307861049694,9.450117696920406,2.8404775653321566
50,31.0,437,1075,1435,1150,2020-10-19,4185,1.2597193647587965,0.41285651158621867,2.3095674439145064,3.75006549532993,7.904881851212055,19.371899022207607,5.032768251869211
63,52.0,553,1521,2113,1700,2020-10-26,6007,1.5872463995960835,0.6925335033059152,2.92263340156687,5.305906621764487,11.639731952342212,28.636720293698204,7.223856365347276
65,59.0,605,1704,2418,2069,2020-11-02,6922,1.6376351741864354,0.7857591672124807,3.197456072238619,5.944289864225303,13.319863635004008,34.852573110389166,8.324210714322264
66,70.0,583,1742,2626,2525,2020-11-09,7622,1.6628295614816115,0.932256639065655,3.081184942339033,6.076850318943943,14.465658356294675,42.533952200934095,9.166011855614604
54,60.0,611,1697,2896,2846,2020-11-16,8167,1.3604969139395002,0.7990771191991329,3.2291663803930515,5.919870833092922,15.952988042585446,47.9412387975677,9.82141417276364
62,67.0,571,1724,2879,3098,2020-11-23,8405,1.5620520123009078,0.8923027831056984,3.0177643260301674,6.014058524603534,15.859341358633804,52.18621145286884,10.107626560803038
59,62.0,610,1687,3204,3628,2020-11-30,9256,1.48646885041538,0.8257130231724373,3.223881329033979,5.884986502903806,17.64964561065047,61.11413013266887,11.131016234002725
70,67.0,679,1987,3980,4573,2020-12-07,11364,1.7636071106623152,0.8923027831056984,3.588549872809954,6.931516408577275,21.9243413016195,77.03277759004817,13.666040242351661
77,85.0,717,2205,4428,5139,2020-12-14,12653,1.9399678217285465,1.1320259188654382,3.789381824454694,7.691994806699996,24.392206855168627,86.56712093489122,15.216156915388558
52,50.0,585,1870,3938,4613,2020-12-21,11120,1.3101081393491483,0.6658975993326108,3.091755045057177,6.523369745364622,21.692978905974268,77.70658277342929,13.372612415958333
73,51.0,614,1928,3879,4501,2020-12-28,11060,1.8391902725478428,0.679215551319263,3.245021534470268,6.725698860461493,21.367969826377397,75.81992825996213,13.30045803241899
68,34.0,595,1847,4010,4705,2021-01-04,11259,1.713218336071963,0.4528103675461753,3.144605558647898,6.443135785929656,22.089600155651805,79.25633469520591,13.539770071157811
61,47.0,534,1614,3451,4266,2021-01-11,9977,1.5368576250057318,0.6259437433726541,2.8222174257445,5.630330892523262,19.01027684218314,71.86132280759797,11.998071409533837
41,35.0,414,1506,3193,3736,2021-01-18,8927,1.032969879102213,0.4661283195328275,2.188011262655848,5.253580126480814,17.589050697505293,62.933404127797935,10.735369697595328
34,35.0,407,1258,2818,3024,2021-01-25,7578,0.8566091680359815,0.4661283195328275,2.1510159031423437,4.388448737790746,15.523315022101443,50.93967186361374,9.113098641019086
45,36.0,358,1154,2374,2541,2021-02-01,6509,1.1337474282829167,0.4794462715194798,1.8920483865478108,4.025651703823943,13.07748398242329,42.80347427428655,7.827548040959782
42,24.0,306,986,1970,1907,2021-02-08,5235,1.0581642663973891,0.31963084767965316,1.617225715876062,3.439594956646801,10.851998081454877,32.123662117695574,6.295469963807721
37,23.0,311,1063,2014,1705,2021-02-15,5154,0.9321923299215095,0.30631289569300096,1.6436509726714224,3.7082042991029915,11.094377734035595,28.720945941620844,6.198061546029607
47,30.0,326,1117,1826,1505,2021-02-22,4851,1.1841362028732687,0.39953855959956647,1.7229267430575037,3.896579682124216,10.0587555820998,25.35192002471517,5.833681909155923
53,29.0,353,1065,1675,1269,2021-03-01,4444,1.3353025266443241,0.38622060761291427,1.8656231297524504,3.715181165140814,9.226952683470516,21.376469442766485,5.344234674147376
52,37.0,412,1374,1746,1296,2021-03-08,4917,1.3101081393491483,0.492764223506132,2.177441159937704,4.793106967984487,9.618065304680313,21.831287941548748,5.913051731049202
84,70.0,492,1648,2181,1319,2021-03-15,5795,2.1163285327947783,0.932256639065655,2.600245268663472,5.7489376151662555,12.014318688148775,22.2187259219929,6.968910876841595
94,91.0,626,1998,2549,1540,2021-03-22,6898,2.3682724057465374,1.2119336307853517,3.3084421507791326,6.969889171785303,14.041493964278418,25.941499560173664,8.295348960906527
95,87.0,627,2066,2647,1428,2021-03-29,6950,2.3934667930417133,1.1586618228387429,3.313727202138205,7.207102617071289,14.58133955411729,24.05484504670649,8.357882759973958
112,72.0,754,2381,2853,1440,2021-04-05,7614,2.821771377059704,0.9588925430389597,3.9849287247403615,8.305959018028432,15.716117018472469,24.256986601720833,9.156391271142692
93,85.0,767,2395,3045,1458,2021-04-12,7844,2.343078018451361,1.1320259188654382,4.0536343924082985,8.354797080293194,16.77377368427924,24.560198934242344,9.432983074710176
96,89.0,806,2570,3029,1427,2021-04-19,8019,2.418661180336889,1.1852977268120473,4.259751395412111,8.965272858602717,16.685635628795342,24.03799991712196,9.643433360033262
79,102.0,655,2180,2565,1182,2021-04-26,6764,1.9903565963188985,1.358431102638526,3.4617086401922235,7.6047839812272064,14.129632019762315,19.910943168912514,8.134204171001993
81,68.0,567,1747,2093,965,2021-05-03,5524,2.0407453709092502,0.9056207350923506,2.996624120593879,6.0942924840385,11.529559382987339,16.255550049069864,6.64301357785556
67,44.0,461,1275,1508,712,2021-05-10,4067,1.6880239487767874,0.5859898874126975,2.4364086765322366,4.447752099112242,8.307011729357338,11.993732264184189,4.890864630908501
49,42.0,359,864,971,506,2021-05-17,2791,1.2345249774636204,0.559353983439393,1.897333437906883,3.0140061283395903,5.348878242179028,8.523635569771347,3.356381407638463
28,25.0,213,568,578,303,2021-05-24,1717,0.705442844264926,0.3329487996663054,1.1257159394823566,1.9814299547417678,3.1839872543557965,5.104074264112091,2.0648179422842134
13,22.0,155,397,349,203,2021-05-31,1140,0.32752703483728707,0.29299494370634876,0.819182960656175,1.3849079085078906,1.922511335242514,3.419561305659256,1.3709332872475268
19,22.0,125,278,241,128,2021-06-07,813,0.4786933586083426,0.29299494370634876,0.6606314198840122,0.9697843792574145,1.3275794607262057,2.156176586819629,0.9776918969581045
16,7.0,86,202,135,79,2021-06-14,525,0.40311019672281484,0.09322566390656552,0.4545144168802004,0.7046634698201356,0.743664843145385,1.33076523717774,0.6313508559692558
12,7.0,88,117,88,50,2021-06-21,362,0.30233264754211114,0.09322566390656552,0.4650845195983445,0.40814666321265286,0.48475930516143617,0.8422564792264178,0.4353314473540392
6,10.0,65,110,89,37,2021-06-28,317,0.15116632377105557,0.13317951986652216,0.3435283383396863,0.3837276320802719,0.4902679336291797,0.6232697946275492,0.3812156596995316
6,6.0,76,129,91,54,2021-07-05,362,0.15116632377105557,0.07990771191991329,0.4016639032894794,0.45000785943959165,0.5012851905646669,0.9096369975645312,0.4353314473540392
11,3.0,101,159,91,48,2021-07-12,413,0.2771382602469352,0.039953855959956645,0.5337901872662818,0.5546608500069385,0.5012851905646669,0.8085662200573611,0.49666267336248127
16,7.0,164,209,125,65,2021-07-19,586,0.40311019672281484,0.09322566390656552,0.8667484228878239,0.7290825009525167,0.688578558467949,1.094933422994343,0.7047078125675884
20,21.0,174,298,176,98,2021-07-26,787,0.5038877459035186,0.2796769917196965,0.919598936478545,1.0395530396356458,0.9695186103228723,1.6508226992837787,0.9464249974243891
22,22.0,257,386,195,128,2021-08-02,1010,0.5542765204938704,0.29299494370634876,1.358258199281529,1.3465351452998633,1.0741825512100005,2.156176586819629,1.2145987895789492
57,39.0,377,675,341,174,2021-08-09,1664,1.436080075825028,0.5194001274794364,1.9924643623701808,2.354692287765305,1.878442307500565,2.931052547707934,2.0010815701577935
75,60.0,534,985,454,244,2021-08-16,2352,1.8895790471381948,0.7990771191991329,2.8222174257445,3.4361065236278896,2.5009173243555907,4.110211618624919,2.828451834742266
86,76.0,652,1347,650,375,2021-08-23,3186,2.16671730738513,1.0121643509855685,3.4458534861150074,4.698919276473875,3.5806085040333353,6.3169235941981325,3.831397765939141
77,71.0,622,1287,721,475,2021-08-30,3253,1.9399678217285465,0.9455745910523075,3.2873019453428447,4.489613295339181,3.9717211252431306,8.001436552650969,3.9119701608914075
97,83.0,575,1175,787,553,2021-09-06,3270,2.4438555676320655,1.1053900148921338,3.038904531466456,4.098908797221086,4.335290604114207,9.31535666024418,3.932413902894222
78,54.0,465,979,655,527,2021-09-13,2758,1.9651622090237226,0.7191694072792196,2.457548881968525,3.4151759255144203,3.6081516463720535,8.877383291046444,3.3166964966918235
71,56.0,388,817,661,468,2021-09-20,2461,1.788801497957491,0.7458053112525241,2.0505999273199738,2.8500497764507466,3.641203417178515,7.883520645559271,2.959532298172073
67,54.0,382,794,652,583,2021-09-27,2532,1.6880239487767874,0.7191694072792196,2.018889619165541,2.769815817015781,3.5916257609688227,9.820710547780031,3.0449149853602964
48,47.0,301,776,772,651,2021-10-04,2596,1.2093305901684446,0.6259437433726541,1.5908004590807014,2.707024022675373,4.252661177098053,10.966179359527958,3.121879661135596
47,54.0,382,853,932,774,2021-10-11,3043,1.1841362028732687,0.7191694072792196,2.018889619165541,2.9756333651315634,5.134041731937028,13.038130298424948,3.6594298185037055
84,59.0,505,1198,1499,1365,2021-10-18,4711,2.1163285327947783,0.7857591672124807,2.668950936331409,4.179142756656053,8.257434073147646,22.993601882881205,5.665321680897455
87,70.0,544,1535,1861,1778,2021-10-25,5875,2.191911694680306,0.932256639065655,2.8750679393352208,5.354744684029249,10.251557578470825,29.950640401291416,7.065116721560719
95,106.0,573,1673,2228,2256,2021-11-01,6933,2.3934667930417133,1.4117029105851349,3.0283344287483116,5.836148440639045,12.273224226132726,38.00261234269597,8.337439017971143
107,152.0,697,2076,2982,2639,2021-11-08,8655,2.6957994405838246,2.024328701971137,3.683680797273252,7.241986947260405,16.426730090811393,44.45429697357033,10.408269825550303
139,215.0,774,2463,3469,3107,2021-11-15,10170,3.502019834029454,2.8633596771302265,4.090629751921804,8.59201052557918,19.109432154602523,52.337817619129595,12.230168009918726
148,181.0,767,2602,3796,3194,2021-11-22,10691,3.728769319686038,2.410549309584051,4.0536343924082985,9.076902715207886,20.91075366355468,53.80334389298357,12.856708573652027
155,208.0,772,2597,3635,2911,2021-11-29,10281,3.9051300307522694,2.770134013223661,4.080059649203659,9.059460550113329,20.02386448024796,49.036172220562044,12.363653619466513
142,174.0,758,2294,3377,2685,2021-12-06,9432,3.577602995914982,2.3173236456774857,4.0060689301766494,8.002465345383126,18.602638335570113,45.22917293445863,11.342669092384801
126,152.0,654,1809,2734,2164,2021-12-13,7641,3.174492799192167,2.024328701971137,3.4564235888331516,6.310575331211018,15.060590230810982,36.452860420919365,9.188860743735397
98,105.0,484,1303,1805,1419,2021-12-20,5220,2.469049954927241,1.3983849585984827,2.557964857790895,4.545428223641767,9.943074384277184,23.903238880445734,6.277431367922887
104,67.0,602,1301,1665,1252,2021-12-27,4993,2.6202162786982965,0.8923027831056984,3.181600918161403,4.538451357603943,9.171866398793082,21.090102239829502,6.00444728353237
161,110.0,829,1177,1408,1102,2022-01-03,4788,4.056296354523325,1.4649747185317437,4.3813075766707685,4.10588566325891,7.756148882582979,18.563332802150246,5.757919806439613
209,175.0,788,1138,1064,923,2022-01-10,4300,5.265626944691769,2.3306415976641377,4.164620470948813,3.969836775521358,5.861180689679182,15.548054606519672,5.171064153652952
224,223.0,834,1044,981,904,2022-01-17,4214,5.643542754119408,2.969903293023444,4.407732833466129,3.641924071743672,5.4039645268564644,15.227997144413633,5.067642870579893
